Wall time,Step,Value
1513683551.2348492,20000,7.699999809265137
1513683872.8320055,40000,13.199999809265137
1513684191.6270456,60000,18.100000381469727
1513684501.5186143,80000,23.399999618530273
1513684811.569692,100000,28.799999237060547
1513685118.7919915,120000,33.79999923706055
1513685409.0632436,140000,37.70000076293945
1513685694.7577367,160000,46.400001525878906
1513685967.3860397,180000,54.0
1513686258.338359,200000,55.5
1513686557.641609,220000,54.70000076293945
1513686863.240749,240000,59.0
1513687182.1227221,260000,56.20000076293945
1513687498.9009652,280000,61.599998474121094
1513687815.5948021,300000,63.599998474121094
1513688135.9121711,320000,64.4000015258789
1513688464.800341,340000,64.9000015258789
1513688775.846202,360000,64.5999984741211
1513689086.2453594,380000,66.0
1513689404.7369628,400000,68.5
1513689727.266798,420000,69.19999694824219
1513690052.672035,440000,70.9000015258789
1513690378.6303916,460000,73.9000015258789
1513690709.8450718,480000,72.80000305175781
1513691046.6163006,500000,70.4000015258789
1513691386.4983122,520000,69.5
1513691729.870572,540000,71.69999694824219
1513692076.3926294,560000,73.9000015258789
