Wall time,Step,Value
1513683246.64437,1200,0.1699481308
1513683256.19881,2400,0.1432667375
1513683262.53464,3200,0.1908866465
1513683268.29471,3800,0.1357068717
1513683279.87398,5000,0.1005164161
1513683302.95356,7400,0.1158384755
1513683310.80902,8200,0.1094106287
1513683314.77624,8600,0.1026273891
1513683318.63115,9000,0.1017815396
1513683320.61017,9200,0.078509964
1513683324.5135,9600,0.0478920117
1513683336.17868,10800,0.0932032391
1513683338.23331,11000,0.0662733614
1513683340.24626,11200,0.0971686691
1513683342.13741,11400,0.0641145632
1513683359.67933,13200,0.0932839364
1513683371.52244,14400,0.0830455571
1513683373.34702,14600,0.0829509646
1513683375.21481,14800,0.060665261
1513683377.13476,15000,0.0725523829
1513683387.03274,16000,0.1153582484
1513683402.33268,17600,0.0806174651
1513683416.62589,19000,0.1091886237
1513683558.2084,20600,0.1012223065
1513683563.23076,21200,0.0727900416
1513683564.96938,21400,0.0764095485
1513683576.65046,22800,0.0665553063
1513683585.57798,23800,0.0419565439
1513683601.72356,25400,0.0692218393
1513683607.74384,26000,0.0697645769
1513683609.71826,26200,0.0466105118
1513683627.81059,28000,0.3573296964
1513683631.77806,28400,0.0510542318
1513683633.81625,28600,0.0914722681
1513683635.83858,28800,0.3418552279
1513683649.55613,30200,0.0740740597
1513683659.70681,31200,0.083886534
1513683663.78372,31600,0.1411034763
1513683665.70739,31800,0.1085049957
1513683673.83745,32600,0.0664525628
1513683683.91527,33600,0.1074370295
1513683685.88601,33800,0.0783214495
1513683692.1927,34400,0.0620810725
1513683704.48142,35600,0.0853846073
1513683706.45788,35800,0.0789928734
1513683710.23062,36200,0.0380470343
1513683716.14719,36800,0.0480248481
1513683720.24756,37200,0.0680182576
1513683722.23275,37400,0.0913971215
1513683726.25019,37800,0.09056402
1513683730.37624,38200,0.069511503
1513683732.29892,38400,0.0749034137
1513683746.30942,39800,0.0812271386
1513683887.91324,41400,0.0853480399
1513683889.67593,41600,0.1133913547
1513683891.38649,41800,0.0474898443
1513683898.21066,42600,0.0783564821
1513683916.92441,44800,0.0541838929
1513683920.53602,45200,0.0778607875
1513683928.43411,46000,0.062974073
1513683934.81583,46600,0.0487461984
1513683938.82385,47000,0.0846942514
1513683944.98041,47600,0.0588021986
1513683969.8806,50000,0.3483887613
1513683982.71668,51200,0.062836796
1513683989.01484,51800,0.1086392403
1513683993.05357,52200,0.0784992948
1513683995.19038,52400,0.0504418127
1513683999.44284,52800,0.0579293445
1513684007.84095,53600,0.0572232231
1513684016.25286,54400,0.037772961
1513684020.35347,54800,0.0786579698
1513684030.67975,55800,0.0470475256
1513684060.36326,58600,0.0855404288
1513684071.03145,59600,0.2843100727
1513684073.18899,59800,0.1695810854
1513684201.28371,60600,0.0503918901
1513684203.37017,60800,0.1147870347
1513684211.85956,61600,0.0466977581
1513684213.92572,61800,0.0260799006
1513684218.24382,62200,0.0740011781
1513684224.44997,62800,0.0363791212
1513684234.96633,63800,0.0826650113
1513684237.16062,64000,0.0608653948
1513684249.82484,65200,0.0669924915
1513684251.91632,65400,0.0886934549
1513684254.06909,65600,0.085517548
1513684260.49525,66200,0.0440288112
1513684278.18636,68000,0.3108255565
1513684292.7501,69600,0.0503912643
1513684319.73608,72200,0.0478251092
1513684326.27124,72800,0.1453690976
1513684334.93324,73600,0.846647501
1513684347.53391,74800,0.3471366167
1513684356.49408,75600,0.0866927952
1513684358.70983,75800,0.1053596064
1513684360.80081,76000,0.1048247442
1513684375.65359,77400,0.2940385044
1513684386.20489,78400,0.0539406091
1513684388.28274,78600,0.0418617241
1513684525.23109,81800,0.0882333219
1513684540.45576,83200,0.0798650384
1513684553.40663,84400,0.0589967519
1513684555.4268,84600,0.3528032899
1513684559.75267,85000,0.0688916445
1513684572.90338,86200,0.0440897681
1513684592.0538,88000,0.0686294734
1513684596.26777,88400,0.043431893
1513684598.48408,88600,0.3104898334
1513684605.03405,89200,0.0369158834
1513684617.9809,90400,0.3526394963
1513684637.50287,92200,0.0338546522
1513684644.23506,92800,0.3124445379
1513684646.39719,93000,0.0939613506
1513684665.95235,94800,0.0663580447
1513684668.22695,95000,0.0529704019
1513684692.29342,97200,0.0631445646
1513684698.75835,97800,0.0849647596
1513684700.93965,98000,0.0611944124
1513684705.42652,98400,0.0385512374
1513684710.05568,98800,0.2962819636
1513684834.45274,101600,0.0859273076
