Wall time,Step,Value
1513887191.9321957,20000,6.099999904632568
1513887381.1422825,40000,9.899999618530273
1513887574.090467,60000,16.0
1513887772.9773593,80000,19.0
1513887977.6872425,100000,25.700000762939453
1513888188.9284358,120000,32.29999923706055
1513888407.275535,140000,37.5
1513888632.3530078,160000,38.70000076293945
1513888864.4676516,180000,42.79999923706055
1513889103.8830066,200000,49.0
1513889347.639275,220000,49.099998474121094
1513889599.2177696,240000,43.900001525878906
1513889852.4542904,260000,54.79999923706055
1513890107.6977632,280000,58.0
1513890367.6133735,300000,58.20000076293945
1513890629.5745518,320000,59.0
1513890895.5812266,340000,56.20000076293945
1513891164.9849691,360000,60.20000076293945
1513891439.5602422,380000,58.70000076293945
1513891720.8470867,400000,63.0
1513892019.8870754,420000,61.400001525878906
1513892322.4398534,440000,59.599998474121094
1513892621.8571937,460000,61.099998474121094
1513892924.1928644,480000,61.5
1513893236.8158066,500000,63.0
1513893555.7735572,520000,58.5
1513893881.3248322,540000,60.5
1513894215.938992,560000,58.599998474121094
