Wall time,Step,Value
1513786494.5284908,20000,22.299999237060547
1513786859.7806041,40000,45.599998474121094
1513787235.0546343,60000,58.400001525878906
1513787616.2678626,80000,70.4000015258789
1513787992.2130728,100000,74.80000305175781
1513788373.0182934,120000,80.5999984741211
1513788757.7637484,140000,80.5999984741211
1513789148.6077049,160000,82.4000015258789
1513789546.3677454,180000,84.69999694824219
1513789950.782464,200000,86.4000015258789
1513790361.636015,220000,86.4000015258789
1513790779.218475,240000,89.30000305175781
1513791201.6230505,260000,87.4000015258789
1513791627.628453,280000,89.5999984741211
1513792059.9301069,300000,88.0999984741211
1513792496.058993,320000,91.19999694824219
1513792936.403104,340000,91.5999984741211
1513793382.013933,360000,89.0999984741211
1513793832.6996367,380000,89.5999984741211
1513794290.5498686,400000,90.9000015258789
1513794753.4527216,420000,88.0999984741211
1513795222.456029,440000,91.0999984741211
1513795695.155598,460000,90.4000015258789
1513796174.4118643,480000,89.0
1513796662.2410011,500000,90.0999984741211
1513797160.5237997,520000,90.19999694824219
1513797657.7764976,540000,90.4000015258789
1513798174.2640715,560000,89.0
1513798721.2247598,580000,88.69999694824219
1513799276.0738676,600000,89.69999694824219
1513799834.1839132,620000,88.0
1513800399.5061939,640000,86.9000015258789
1513800976.5506923,660000,88.9000015258789
1513801553.2621021,680000,88.5
1513802135.0354621,700000,89.5999984741211
1513802719.349486,720000,86.4000015258789
1513803328.0317862,740000,88.19999694824219
1513803958.512632,760000,87.4000015258789
1513804591.2772908,780000,86.30000305175781
1513805221.5329149,800000,87.9000015258789
